Attribute,Value
currency,USD
dayHigh,192.36000061035156
dayLow,187.14999389648438
exchange,NMS
fiftyDayAverage,179.27759994506835
lastPrice,190.41000366210938
lastVolume,116312400
marketCap,608203843776.7969
open,191.64999389648438
previousClose,192.84
quoteType,EQUITY
regularMarketPreviousClose,192.22000122070312
shares,3194180096
tenDayAverageVolume,148023120
threeMonthAverageVolume,181704860
timezone,America/New_York
twoHundredDayAverage,216.93086700439454
yearChange,-0.4294110709017325
yearHigh,384.2900085449219
yearLow,101.80999755859375
