Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2024-03-14 08:00:00-04:00,,,
2023-11-29 08:00:00-05:00,,,
2023-08-23 08:00:00-04:00,,,
2023-05-24 08:00:00-04:00,2.39,,
2023-03-16 02:00:00-04:00,2.97,2.96,-0.0017000000000000001
2022-12-01 01:00:00-05:00,2.54,2.33,-0.0809
2022-08-25 02:00:00-04:00,2.94,2.98,0.015300000000000001
2022-05-26 02:00:00-04:00,2.31,2.41,0.0424
2022-03-17 02:00:00-04:00,2.57,2.57,0.0016
2021-12-02 01:00:00-05:00,2.01,2.08,0.0338
2021-08-26 02:00:00-04:00,2.59,2.69,0.0374
2021-05-27 02:00:00-04:00,2.19,2.82,0.2871
